contract_id,hypothesis_id,gold_label,ms3_label,ms3_correct,ms3_groundedness_check,ms3_quote_integrity_check,ms3_latency_ms
doc_1,H01,CONTRADICTED,NOT_MENTIONED,0,1,1,4572.61
doc_1,H02,CONTRADICTED,CONTRADICTED,1,1,1,10464.76
doc_1,H03,NOT_MENTIONED,NOT_MENTIONED,1,1,1,3968.65
doc_1,H04,ENTAILED,ENTAILED,1,1,1,4530.26
doc_1,H05,ENTAILED,ENTAILED,1,1,1,4484.01
doc_1,H06,ENTAILED,CONTRADICTED,0,1,1,3055.91
doc_1,H07,ENTAILED,ENTAILED,1,1,1,5710.98
doc_1,H08,NOT_MENTIONED,NOT_MENTIONED,1,1,1,3163.26
doc_1,H09,NOT_MENTIONED,NOT_MENTIONED,1,1,1,4207.25
doc_1,H10,ENTAILED,ENTAILED,1,1,1,2505.4
doc_1,H11,ENTAILED,NOT_MENTIONED,0,1,1,5683.22
doc_1,H12,ENTAILED,ENTAILED,1,1,1,4989.59
doc_1,H13,ENTAILED,ENTAILED,1,1,1,13595.53
doc_1,H14,ENTAILED,ENTAILED,1,1,1,8425.57
doc_1,H15,NOT_MENTIONED,NOT_MENTIONED,1,1,1,7315.48
doc_1,H16,ENTAILED,ENTAILED,1,1,1,9845.32
doc_1,H17,ENTAILED,ENTAILED,1,1,1,4501.98
doc_2,H01,CONTRADICTED,CONTRADICTED,1,1,0,6855.38
doc_2,H02,CONTRADICTED,CONTRADICTED,1,1,1,5390.85
doc_2,H03,ENTAILED,ENTAILED,1,1,1,5769.54
doc_2,H04,NOT_MENTIONED,ENTAILED,0,1,1,4715.85
doc_2,H05,ENTAILED,ENTAILED,1,1,1,4812.12
doc_2,H06,CONTRADICTED,CONTRADICTED,1,1,1,7590.42
doc_2,H07,ENTAILED,ENTAILED,1,1,1,5640.7
doc_2,H08,NOT_MENTIONED,NOT_MENTIONED,1,1,1,3566.15
doc_2,H09,ENTAILED,ENTAILED,1,1,1,4160.77
doc_2,H10,ENTAILED,ENTAILED,1,1,1,4825.76
doc_2,H11,ENTAILED,ENTAILED,1,1,1,5565.91
doc_2,H12,ENTAILED,ENTAILED,1,1,1,7969.69
doc_2,H13,ENTAILED,ENTAILED,1,1,1,4928.93
doc_2,H14,ENTAILED,ENTAILED,1,1,1,5245.02
doc_2,H15,NOT_MENTIONED,NOT_MENTIONED,1,1,1,2920.24
doc_2,H16,ENTAILED,ENTAILED,1,1,1,3919.47
doc_2,H17,ENTAILED,ENTAILED,1,1,1,7640.35
doc_4,H01,CONTRADICTED,NOT_MENTIONED,0,1,1,4143.58
doc_4,H02,NOT_MENTIONED,NOT_MENTIONED,1,1,1,4921.06
doc_4,H03,ENTAILED,NOT_MENTIONED,0,1,1,5085.22
doc_4,H04,ENTAILED,ENTAILED,1,1,1,2516.89
doc_4,H05,NOT_MENTIONED,NOT_MENTIONED,1,1,1,4020.67
doc_4,H06,NOT_MENTIONED,CONTRADICTED,0,1,1,4084.44
doc_4,H07,NOT_MENTIONED,NOT_MENTIONED,1,1,1,2537.06
doc_4,H08,NOT_MENTIONED,NOT_MENTIONED,1,1,1,4045.91
doc_4,H09,NOT_MENTIONED,NOT_MENTIONED,1,1,1,7105.98
doc_4,H10,NOT_MENTIONED,NOT_MENTIONED,1,1,1,3931.75
doc_4,H11,NOT_MENTIONED,NOT_MENTIONED,1,1,1,3389.15
doc_4,H12,ENTAILED,CONTRADICTED,0,1,1,5313.8
doc_4,H13,NOT_MENTIONED,NOT_MENTIONED,1,1,1,1490.5
doc_4,H14,NOT_MENTIONED,ENTAILED,0,1,1,4079.71
doc_4,H15,NOT_MENTIONED,NOT_MENTIONED,1,1,1,3432.7
doc_4,H16,ENTAILED,ENTAILED,1,1,1,3806.61
doc_4,H17,CONTRADICTED,CONTRADICTED,1,1,1,2382.03
doc_5,H01,NOT_MENTIONED,NOT_MENTIONED,1,1,1,3878.05
doc_5,H02,NOT_MENTIONED,CONTRADICTED,0,1,1,3976.16
doc_5,H03,CONTRADICTED,ENTAILED,0,1,1,3013.49
doc_5,H04,NOT_MENTIONED,NOT_MENTIONED,1,1,1,3904.96
doc_5,H05,ENTAILED,ENTAILED,1,1,1,3793.0
doc_5,H06,ENTAILED,CONTRADICTED,0,1,1,4609.39
doc_5,H07,ENTAILED,ENTAILED,1,1,1,3719.2
doc_5,H08,ENTAILED,NOT_MENTIONED,0,1,1,3362.76
doc_5,H09,NOT_MENTIONED,NOT_MENTIONED,1,1,1,2518.42
doc_5,H10,NOT_MENTIONED,NOT_MENTIONED,1,1,1,2525.21
doc_5,H11,NOT_MENTIONED,NOT_MENTIONED,1,1,1,2775.42
doc_5,H12,NOT_MENTIONED,NOT_MENTIONED,1,1,1,2544.78
doc_5,H13,NOT_MENTIONED,NOT_MENTIONED,1,1,1,3408.57
doc_5,H14,NOT_MENTIONED,NOT_MENTIONED,1,1,1,2698.48
doc_5,H15,NOT_MENTIONED,NOT_MENTIONED,1,1,1,5960.93
doc_5,H16,NOT_MENTIONED,NOT_MENTIONED,1,1,1,5735.13
doc_5,H17,NOT_MENTIONED,NOT_MENTIONED,1,1,1,4345.57
doc_6,H01,NOT_MENTIONED,NOT_MENTIONED,1,1,1,9410.44
doc_6,H02,CONTRADICTED,CONTRADICTED,1,1,1,9753.93
doc_6,H03,ENTAILED,NOT_MENTIONED,0,1,1,4308.0
doc_6,H04,ENTAILED,ENTAILED,1,1,1,4638.77
doc_6,H05,ENTAILED,NOT_MENTIONED,0,1,1,2980.34
doc_6,H06,ENTAILED,NOT_MENTIONED,0,1,1,3832.98
doc_6,H07,NOT_MENTIONED,NOT_MENTIONED,1,1,1,2212.73
doc_6,H08,NOT_MENTIONED,NOT_MENTIONED,1,1,1,4387.63
doc_6,H09,NOT_MENTIONED,NOT_MENTIONED,1,1,1,4354.67
doc_6,H10,ENTAILED,NOT_MENTIONED,0,1,1,3283.11
doc_6,H11,ENTAILED,ENTAILED,1,1,1,6432.79
doc_6,H12,ENTAILED,ENTAILED,1,1,1,4751.82
doc_6,H13,ENTAILED,ENTAILED,1,1,1,6055.5
doc_6,H14,ENTAILED,ENTAILED,1,1,1,4513.61
doc_6,H15,NOT_MENTIONED,NOT_MENTIONED,1,1,1,5012.48
doc_6,H16,ENTAILED,ENTAILED,1,1,1,3254.29
